FlightNumber,PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial
1,6104.959411764706,LEO,CCAFS SLC 40,1,False,False,False,,1.0,0,B0003
2,525.0,LEO,CCAFS SLC 40,1,False,False,False,,1.0,0,B0005
3,677.0,ISS,CCAFS SLC 40,1,False,False,False,,1.0,0,B0007
4,500.0,PO,VAFB SLC 4E,1,False,False,False,,1.0,0,B1003
5,3170.0,GTO,CCAFS SLC 40,1,False,False,False,,1.0,0,B1004
6,3325.0,GTO,CCAFS SLC 40,1,False,False,False,,1.0,0,B1005
7,2296.0,ISS,CCAFS SLC 40,1,False,False,True,,1.0,0,B1006
8,1316.0,LEO,CCAFS SLC 40,1,False,False,True,,1.0,0,B1007
9,4535.0,GTO,CCAFS SLC 40,1,False,False,False,,1.0,0,B1008
10,4428.0,GTO,CCAFS SLC 40,1,False,False,False,,1.0,0,B1011
11,2216.0,ISS,CCAFS SLC 40,1,False,False,False,,1.0,0,B1010
12,2395.0,ISS,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,0,B1012
13,570.0,ES-L1,CCAFS SLC 40,1,True,False,True,,1.0,0,B1013
14,1898.0,ISS,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,0,B1015
15,4707.0,GTO,CCAFS SLC 40,1,False,False,False,,1.0,0,B1016
16,2477.0,ISS,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0,B1018
17,2034.0,LEO,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb267a34e7c7,1.0,0,B1019
18,553.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,1.0,0,B1017
19,5271.0,GTO,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0,B1020
20,3136.0,ISS,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1,B1021
21,4696.0,GTO,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0,B1022
22,3100.0,GTO,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1,B1023
23,2257.0,ISS,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb267a34e7c7,2.0,1,B1025
24,4600.0,GTO,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0,B1026
25,5500.0,GTO,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,3.0,0,B1028
26,9600.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1,B1029
27,2490.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1,B1031
28,5600.0,GTO,KSC LC 39A,1,False,False,False,,3.0,0,B1030
29,5300.0,GTO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,2.0,1,B1021
30,6104.959411764706,LEO,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1,B1032
31,6070.0,GTO,KSC LC 39A,1,False,False,False,,3.0,0,B1034
32,2708.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1,B1035
33,3669.0,GTO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,1,B1029
34,9600.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1,B1036
35,6761.0,GTO,KSC LC 39A,1,False,False,False,,3.0,0,B1037
36,2910.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1,B1039
37,475.0,SSO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1,B1038
